               18.75     4.653   217.637    13.935    69.000
               50.00     5.475   218.008    13.450    70.000
               75.00     5.759   218.052    13.159    70.000
              100.00     5.938   218.047    12.901    71.000
              125.00     6.075   218.027    12.647    72.000
              150.00     6.194   218.003    12.324    73.000
              175.00     6.245   217.994    12.152    73.000
              206.25     6.324   217.981    11.846    74.000
              250.00     6.407   217.990    11.390    76.000
              300.00     6.468   218.034    10.905    78.000
              350.00     6.512   218.145    10.379    80.000
              400.00     6.538   218.311     9.908    82.000
              450.00     6.554   218.501     9.510    83.000
              512.50     6.572   218.908     8.890    86.000
              600.00     6.591   219.879     8.021    89.000
              700.00     6.628   221.714     7.121    92.000
              800.00     6.733   225.363     6.276    94.000
              900.00     7.133   234.804     5.482    92.000
             1100.00     7.768   247.104     4.607    84.000
             1500.00     9.028   255.463     2.331    84.000
             2000.00    10.805   258.447     0.079    80.000
             2500.00    11.791   254.904    -1.890    75.000
             3000.00    11.435   253.731    -3.878    87.000
             3500.00    11.391   256.893    -6.420    96.000
             4000.00    11.495   258.130    -9.671    83.000
             4500.00    12.506   262.151   -12.288    53.000
             5000.00    13.768   265.143   -14.443    31.000
2022070110   671.443     0.000 10007.345  1111.488     1.000   192.451   190.326   0.53025   0.15000     5.000   -64.608     1.858
                2.00                        15.533    67.678    -0.755
               10.00     4.618   205.201
               18.75     5.104   205.333    14.777    68.000
               50.00     5.992   205.594    14.262    69.000
               75.00     6.301   205.608    13.962    70.000
              100.00     6.496   205.588    13.697    71.000
              125.00     6.648   205.560    13.429    71.000
              150.00     6.776   205.526    13.107    73.000
              175.00     6.832   205.510    12.935    73.000
              206.25     6.921   205.485    12.621    74.000
              250.00     7.014   205.472    12.159    76.000
              300.00     7.085   205.493    11.658    78.000
              350.00     7.135   205.564    11.136    80.000
              400.00     7.166   205.679    10.662    82.000
              450.00     7.187   205.811    10.263    83.000
              512.50     7.211   206.098     9.631    86.000
              600.00     7.239   206.739     8.744    90.000
              700.00     7.273   207.787     7.822    94.000
              800.00     7.341   209.408     6.936    98.000
              900.00     7.576   213.252     6.018   100.000
             1100.00     8.346   226.894     4.658   100.000
             1500.00     9.189   252.518     2.607    99.000
             2000.00    10.560   264.053     0.412   100.000
             2500.00    12.942   267.349    -1.852   100.000
             3000.00    13.324   266.647    -4.089   100.000
             3500.00    12.004   264.344    -6.822    97.000
             4000.00    11.112   260.028    -9.749    76.000
             4500.00    13.522   264.560   -12.242    47.000
             5000.00    15.679   267.469   -14.376    26.000
2022070111   309.300     7.190 10004.601   762.197     1.000    75.548   103.241   0.48203   0.15000     5.000  -120.619     1.210
                2.00                        14.897    76.828    -0.570
               10.00     4.667   194.812
               18.75     5.192   194.993    14.327    77.000
               50.00     6.178   195.369    13.912    78.000
               75.00     6.543   195.459    13.645    79.000
              100.00     6.778   195.494    13.403    79.000
              125.00     6.961   195.509    13.151    80.000
              150.00     7.113   195.518    12.846    81.000
              175.00     7.177   195.522    12.681    82.000
              206.25     7.275   195.528    12.380    83.000
              250.00     7.371   195.554    11.935    85.000
              300.00     7.436   195.605    11.452    86.000
              350.00     7.475   195.707    10.950    88.000
              400.00     7.500   195.871    10.496    90.000
              450.00     7.528   196.079    10.118    91.000
              512.50     7.605   196.601     9.527    93.000
              600.00     7.888   198.505     8.731    95.000
              700.00     8.319   203.067     7.997    96.000
              800.00     8.686   208.570     7.369    96.000
              900.00     9.004   214.332     6.678    97.000
             1100.00     9.385   222.270     5.453   100.000
             1500.00     9.786   237.522     3.524   100.000
             2000.00    10.849   250.599     1.125   100.000
             2500.00    12.517   259.751    -1.714   100.000
             3000.00    12.520   264.594    -4.274    98.000
             3500.00    11.839   261.629    -7.119    90.000
             4000.00    13.032   262.115    -9.599    58.000
             4500.00    14.962   264.827   -12.199    38.000
             5000.00    16.542   266.566   -14.439    26.000
2022070112   309.694    27.077  9999.757   791.892     1.000    71.463   115.111   0.52945   0.15000     5.000  -166.267     1.209
                2.00                        15.048    80.624    -0.558
               10.00     5.309   186.775
               18.75     5.978   187.280    14.490    81.000
               50.00     7.282   188.335    14.084    81.000
               75.00     7.809   188.836    13.818    82.000
              100.00     8.166   189.224    13.576    83.000
              125.00     8.458   189.591    13.327    83.000
              150.00     8.715   190.007    13.024    85.000
              175.00     8.832   190.231    12.860    85.000
              206.25     9.021   190.636    12.562    86.000
              250.00     9.239   191.282    12.120    88.000
              300.00     9.435   192.073    11.641    89.000
              350.00     9.632   193.050    11.151    91.000
              400.00     9.861   194.043    10.714    93.000
              450.00    10.128   195.140    10.356    94.000
              512.50    10.713   197.517     9.811    95.000
              600.00    11.638   202.323     9.131    96.000
              700.00    12.300   207.544     8.514    97.000
              800.00    12.778   212.348     7.948    98.000
              900.00    13.235   217.301     7.267    99.000
             1100.00    13.824   225.494     6.327   100.000
             1500.00    13.233   238.795     4.543   100.000
             2000.00    12.348   247.862     1.899   100.000
             2500.00    12.570   253.115    -1.161   100.000
             3000.00    12.149   256.905    -3.975    99.000
             3500.00    11.049   256.491    -7.164    97.000
             4000.00    12.169   258.968   -10.205    74.000
             4500.00    15.231   262.010   -12.432    45.000
             5000.00    17.473   264.061   -14.344    27.000
2022070113   437.535     4.754  9994.969   872.806     1.000   117.139   153.364   0.69589   0.15000     5.000  -234.721     1.463
                2.00                        15.993    80.138    -0.682
               10.00     7.157   195.982
               18.75     8.008   196.132    15.311    81.000
               50.00     9.598   196.367    14.858    81.000
               75.00    10.201   196.475    14.578    82.000
